Business,Type,Area,Address,Phone,Source,Priority,Outreach Angle,Status,Notes
"New Castle Tuck Shop","Tuck shop","Emdeni South, Soweto","Tshabalala St, Emdeni South, Soweto, 1861","+27 78 984 6644","https://www.waze.com/live-map/directions/za/gp/soweto/new-castle-tuck-shop?to=place.ChIJ0SFCQACklR4RLRDF5ayEbP8","A","Tuck shop: pitch stock/sales ledger and reorder alerts","Not contacted","Public Waze listing"
"Caiphas Spaza Shop","Spaza shop","Nancefield/Industrial, Soweto","476 Kimberly Ave, Nancefield, Soweto, 1811","+27 79 807 1300","https://www.waze.com/live-map/directions/za/gp/soweto/caiphas-spaza-shop?to=place.ChIJ8auilVunlR4RymUlnj9kusk","A","Direct fit: spaza shop; lead with 30-day free trial","Not contacted","Public Waze listing"
"Thandanani's Spaza Shop","Spaza shop","Devland, Soweto","8-2 Process Rd, Devland, Soweto, 1811","","https://www.waze.com/live-map/directions/za/gp/soweto/thandananis-spaza-shop?to=place.ChIJ3Xp-TzsJlR4RoxreCEUuCIE","A","Direct fit: spaza shop; contact via visit/referral if no phone","Not contacted","Public Waze listing"
"Jamaal Tuck Shop","Tuck shop","Green Village, Soweto","Lesedi Street, Green Village, Soweto, 1863","+27 61 562 3987","https://www.waze.com/live-map/directions/za/gp/soweto/jamaal-tuck-shop?to=place.ChIJU-vVvIqjlR4R4bcPYYQqZ90","A","Tuck shop: pitch daily sales + running-low stock","Not contacted","Public Waze listing"
"Lazzy's Tuck Shop & Bottlestore","Tuck shop / bottle store","Protea Glen, Soweto","5583 Igologolo St, Protea Glen, Soweto, 1819","+27 61 772 2631","https://www.waze.com/live-map/directions/za/gp/soweto/lazzys-tuck-shop.andbottlestore?to=place.ChIJz3Qf7CKllR4RRHZyxXl9dOE","A","Mixed retail: pitch stock book + supplier prices","Not contacted","Public Waze listing"
"Nadia Best Price Supermarket","Small supermarket","Dobsonville, Soweto","Kaimane St, Dobsonville, Soweto, 1863","+27 74 474 3438","https://www.waze.com/live-map/directions/za/gp/soweto/nadia-best-price-supermarket?to=place.ChIJKcWXX5ejlR4RIHQ-9g-QQQg","A","Small grocery: pitch expiry/reorder visibility","Not contacted","Public Waze listing"
"Apollo Supermarket","Small supermarket","Emdeni South, Soweto","5770-5766 Pitse St, Emdeni South, Soweto, 1861","+27 79 552 6787","https://www.waze.com/live-map/directions/za/gp/soweto/apollo-supermarket?to=place.ChIJ3eEj0dqjlR4R4TtEn4mJZXw","A","Small grocery: pitch sales ledger and low-stock alerts","Not contacted","Public Waze listing"
"Makhetha Modern Butchery and Supermarket","Butchery / supermarket","Naledi, Soweto","Lethoba St, Naledi, Soweto, 1868","+27 60 859 7105","https://www.waze.com/live-map/directions/za/gp/soweto/makhetha-modern-butchery-and-supermarket?to=place.ChIJj0uZsaemlR4R8VXbenaJCtI","A","Perishables: lead with expiry and daily sales tracking","Not contacted","Public Waze listing"
"Lehlohonolo SuperMarket","Small supermarket","Tladi, Soweto","00493 Monko St, Tladi, Soweto, 1868","","https://www.waze.com/live-map/directions/za/gp/soweto/lehlohonolo-supermarket?to=place.ChIJyfAg96-mlR4RJuSjAGXOIS0","B","Small grocery: pitch stock and supplier board","Not contacted","No phone in source snippet"
"Kwazikode's Market","Market / grocery","Orlando East, Soweto","5119 Nicholas St, Orlando East, Soweto, 1804","+27 11 935 9075","https://www.waze.com/live-map/directions/za/gp/soweto/kwazikodes-market?to=place.ChIJxTwPV4CnlR4RmpzNGPJpTqE","B","Market store: pitch reports and reorder levels","Not contacted","Public Waze listing"
"Mangweni Trading Store","Trading store","Soweto","9003 Msitshana St, Soweto","+27 11 939 4214","https://www.waze.com/live-map/directions/za/gp/soweto/mangweni-trading-store?to=place.ChIJuQuzm7GglR4R1Rml9nycoh0","B","Trading store: pitch stock book from phone","Not contacted","Public Waze listing"
